Ref,Val,Package,PosX,PosY,Rot,Side
"3.3V","LED","LED_0603_1608Metric",131.250000,-67.700000,180.000000,top
"3.3V","3.3v ","PinHeader_1x02_P2.54mm_Vertical",140.300000,-57.000000,-90.000000,top
"C1","10u","C_0805_2012Metric",134.800000,-75.700000,90.000000,top
"C2","10u","C_0805_2012Metric",128.950000,-79.200000,180.000000,top
"C3","10u","C_0603_1608Metric",144.300000,-71.100000,90.000000,top
"C4","100n","C_0402_1005Metric",142.600000,-74.100000,90.000000,top
"C5","100n","C_0402_1005Metric",146.500000,-86.100000,180.000000,top
"C6","100n","C_0402_1005Metric",146.500000,-87.200000,180.000000,top
"C7","100n","C_0402_1005Metric",155.300000,-84.700000,0.000000,top
"C8","100n","C_0402_1005Metric",155.300000,-85.800000,0.000000,top
"C9","100n","C_0402_1005Metric",156.100000,-73.100000,90.000000,top
"C10","100n","C_0402_1005Metric",157.200000,-73.120000,90.000000,top
"C11","100n","C_0402_1005Metric",146.500000,-71.300000,0.000000,top
"C12","100n","C_0402_1005Metric",146.480000,-70.200000,0.000000,top
"C13","100n","C_0402_1005Metric",141.500000,-80.750000,90.000000,top
"C14","10n","C_0402_1005Metric",142.600000,-80.750000,90.000000,top
"C15","2.2u","C_0603_1608Metric",153.250000,-87.100000,-90.000000,top
"C16","2.2u","C_0603_1608Metric",158.600000,-75.000000,0.000000,top
"C17","12p","C_0402_1005Metric",139.000000,-74.000000,0.000000,top
"C18","12p","C_0402_1005Metric",139.020000,-79.500000,180.000000,top
"F1","500mA","Fuse_0603_1608Metric",132.912500,-83.900000,180.000000,top
"FB1","100R","L_0805_2012Metric",132.050000,-80.150000,-90.000000,top
"FB2","100R","L_0805_2012Metric",140.400000,-82.800000,0.000000,top
"Fuse","B5819W","D_SOD-123",133.700000,-88.150000,-90.000000,top
"I2C","I2C","PinHeader_1x02_P2.54mm_Vertical",148.660000,-57.000000,90.000000,top
"J1","VCC","PinHeader_1x02_P2.54mm_Vertical",127.500000,-89.775000,180.000000,top
"R1","2K2","R_0805_2012Metric",134.750000,-67.700000,0.000000,top
"R2","10k","R_0402_1005Metric",148.000000,-70.700000,-90.000000,top
"R3","10k","R_0402_1005Metric",151.800000,-86.600000,90.000000,top
"R4","2K2","R_0402_1005Metric",150.210000,-66.800000,180.000000,top
"R5","2K2","R_0402_1005Metric",148.090000,-66.750000,0.000000,top
"R6","220","R_0402_1005Metric",142.185000,-77.700000,0.000000,top
"R7","2K2","R_0805_2012Metric",159.000000,-84.500000,180.000000,top
"SPI","SPI","PinHeader_1x04_P2.54mm_Vertical",152.080000,-100.750000,-90.000000,top
"STAT","LED","LED_0603_1608Metric",159.000000,-82.500000,180.000000,top
"SWD","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical_SMD",168.000000,-69.000000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",129.950000,-73.600000,90.000000,top
"U2","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",150.000000,-78.700000,0.000000,top
"UART","UART","PinHeader_1x02_P2.54mm_Vertical",171.000000,-79.225000,0.000000,top
"XTAL","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",139.000000,-76.750000,-90.000000,top
